timestamp,runecrafting,magic,fletching,woodcutting,firemaking,construction,farming,herblore,thieving,mining,smithing
1668686400,10233450,34025983,10625372,19715830,10767598,7332233,25338902,12124409,16827323,14694281,8022031
1668772800,12509841,34796195,11332555,17462507,15603798,13830768,23777551,13717334,17294833,15618123,16148238
1668859200,13946663,35216600,12868530,18683369,15605940,6354040,25809530,17657443,27970132,18948376,14844658
1668945600,18100837,46807634,19956145,21753297,29373270,10609590,28348375,19093222,15855500,18820967,15162492
1669032000,11554852,29991324,15109541,18291406,16728588,18257761,24347889,10525831,22204085,15511957,13761656
1669204800,2217373,10402650,4745269,4830965,3842126,2424115,6583533,3987032,6585238,4037416,4405312
1669291200,12637665,30826500,9418946,19586251,12313291,11320872,22890248,7178064,18821526,15345805,12868965
1669377600,13582971,39444923,10408368,17032890,16057362,7697191,23919886,10395690,21664969,15946427,11038132
1669464000,17338142,38134129,13309893,20544969,10215277,7773701,25834505,6572416,15690963,17658650,16354673
1669550400,14413038,38782725,13515560,16067104,13915530,13351352,22843361,12149285,17617875,16362619,24966670
1669636800,39883796,101817178,40108805,61017282,67630563,37260226,62883458,37376830,39616951,48833006,41438153
1669723200,64921153,164740494,65615980,110083731,74904675,57713822,110703619,66531815,70163151,81836582,66075002
1669809600,96378452,194811854,75956036,134508495,84116519,55776584,143230243,65882526,90155576,108478300,80328487
1669896000,177449572,194943693,74772768,335194702,180510404,151560277,233211962,242556736,435321282,431140452,322993703
1669982400,104678608,217063672,78165262,175731035,119424225,80976276,170773706,110248005,155325446,157205150,132765448
1670068800,98027265,225654401,82677793,160037503,105132476,75082383,158744048,96672280,128665173,139716467,106445503
1670155200,113347862,273755567,90918097,150565199,120587635,92249388,170800675,107047995,142026130,143309180,130093301
1670241600,111697518,274001877,92258171,167254415,133706019,96060866,189984393,94766247,155396597,144191600,127046960
1670328000,101412646,244064595,96386628,156361327,118045951,80124942,177028492,83388413,125835178,125896469,116781600
1670414400,101593132,223292429,98486151,151107568,111880171,76943101,169231531,75538669,128880367,122430320,88498800
1670500800,91750162,204012381,93976021,135842596,106223259,81256732,156480827,71591929,106955773,122800791,90810178
1670587200,91303147,222132032,94388491,148002561,110422994,71883685,156936473,85641695,122200582,123652157,98251174
1670673600,70011670,176370277,68067097,112374076,96536367,52707554,117124880,68058758,90407329,100043569,75487345
1670760000,70302497,188248713,74399724,97385006,110689410,64490974,109714157,66402714,104686361,93068088,79604436
1670846400,106243914,260995704,94310166,142009719,127833197,91358603,171100281,93685680,158684655,128992352,116946013
1670932800,91618019,228172019,85844465,146101568,102391377,80866013,165538377,82291734,128247346,127253698,98710235
1671019200,87987577,222481924,100089082,147071907,124411525,67542562,165464762,86862754,121115990,120130265,103983977
1671105600,87677099,216703861,87526456,139687641,123325268,55078669,157931105,80217016,121637668,116894706,99471186
1671192000,100767974,214347171,92628424,128627530,106595497,74098894,153612803,80872109,115758525,124384227,105048041
1671278400,103230564,229700553,92496467,128380756,111056925,69348988,145700532,90212023,116005732,120187068,94107643
1671364800,101431633,254880282,105879237,125595934,120402922,100460504,150565256,88672249,117652451,125135224,97989118
1671451200,108045821,259793605,119240012,129083561,128009816,93347041,157760953,83890122,121438940,113873372,92893023
1671537600,107151665,240356167,96415215,135896561,135418669,85222951,162881186,83543395,119184337,120131089,93601719
1671624000,108607794,244291916,80693714,136967100,138504722,91729132,160775582,94965936,115505034,125073965,100583149
1671710400,107429640,229343568,86491639,134526511,130386284,83556655,156937813,92828465,112400063,123667853,99418748
1671796800,105965683,229506938,102526201,134902260,130506873,80630690,163855214,102238921,135932746,127736575,103417162
1671883200,100338475,243946252,98355522,135150225,131565134,80975621,160989957,96146401,127516060,124773162,98288240
1671969600,83290558,204854643,86179186,106137891,119610592,66021667,146706851,78320997,116681026,98887241,78112327
1672056000,82429235,192015441,74820424,96798820,111279967,66743347,140346473,87793870,127290450,94272629,75179303
1672142400,112817494,247731565,121192823,123881402,135477568,101081595,173606366,110855382,142770116,125772319,94480238
